"year_week","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2022-42",1358,7925,1799226,4.4,93933,1148,12.22,231976,1153,4.97,1050341,4426,4.21,422976,1198,2.83
"2022-43",1352,8121,1787204,4.54,94914,1440,15.17,234370,1289,5.5,1038791,4156,4,419129,1236,2.95
"2022-44",1369,9405,1808237,5.2,96573,1484,15.37,237038,1572,6.63,1050578,5018,4.78,424048,1331,3.14
"2022-45",1402,12975,1856939,6.99,98442,2172,22.06,242068,2520,10.41,1080381,6646,6.15,436048,1637,3.75
"2022-46",1433,18385,1900514,9.67,99836,2838,28.43,246180,4032,16.38,1107378,9315,8.41,447120,2200,4.92
"2022-47",1444,24953,1913683,13.04,100239,4011,40.01,247071,5944,24.06,1115013,12303,11.03,451360,2695,5.97
"2022-48",1451,30169,1919494,15.72,101681,5008,49.25,250088,7096,28.37,1116420,14948,13.39,451305,3117,6.91
"2022-49",1475,30597,1957394,15.63,103452,5209,50.35,253844,6915,27.24,1139144,15197,13.34,460954,3276,7.11
"2022-50",1479,30107,1963837,15.33,104254,4852,46.54,255852,5917,23.13,1141884,15974,13.99,461847,3364,7.28
"2022-51",1476,27456,1957549,14.03,105597,4420,41.86,258907,5315,20.53,1134745,14422,12.71,458300,3299,7.2
"2022-52",1462,23868,1938027,12.32,105015,3655,34.8,258170,4203,16.28,1121892,12713,11.33,452950,3297,7.28
"2023-01",1455,20698,1926449,10.74,104154,2634,25.29,254922,2994,11.74,1115559,12018,10.77,451814,3052,6.75
"2023-02",1496,20426,1983114,10.3,107010,2421,22.62,260619,2769,10.62,1149566,12154,10.57,465919,3082,6.61
"2023-03",1482,18202,1966688,9.26,105821,2656,25.1,259022,2926,11.3,1139675,9938,8.72,462170,2682,5.8
"2023-04",1468,17092,1947201,8.78,104769,2679,25.57,256641,2861,11.15,1128282,9439,8.37,457509,2113,4.62
"2023-05",1467,16637,1948426,8.54,104465,2661,25.47,255944,3029,11.83,1129097,8970,7.94,458920,1977,4.31
"2023-06",1456,15956,1934415,8.25,103856,2356,22.69,254423,2794,10.98,1120012,9018,8.05,456124,1788,3.92
"2023-07",1451,15555,1926738,8.07,104705,2357,22.51,255864,2956,11.55,1110982,8513,7.66,455187,1729,3.8
"2023-08",1437,15461,1908078,8.1,102295,2334,22.82,251297,2912,11.59,1102600,8497,7.71,451886,1718,3.8
"2023-09",1418,14065,1880329,7.48,101872,2230,21.89,248677,2707,10.89,1084978,7610,7.01,444802,1518,3.41
"2023-10",1391,12744,1847055,6.9,99555,2188,21.98,242448,2547,10.51,1067165,6732,6.31,437887,1277,2.92
"2023-11",1371,10895,1819421,5.99,98290,1893,19.26,237599,2094,8.81,1051894,5821,5.53,431638,1087,2.52
"2023-12",1333,10079,1768463,5.7,95488,1698,17.78,231663,1963,8.47,1021413,5375,5.26,419899,1043,2.48
"2023-13",1307,8922,1737511,5.13,92172,1516,16.45,223695,1628,7.28,1007614,4840,4.8,414030,938,2.27
"2023-14",1257,7693,1662080,4.63,90467,1322,14.61,218248,1442,6.61,958687,4066,4.24,394678,863,2.19
"2023-15",1185,6961,1569317,4.44,85840,1116,13,207632,1155,5.56,903444,3836,4.25,372401,854,2.29
"2023-16",1073,5871,1426858,4.11,76920,935,12.16,186217,1059,5.69,824326,3206,3.89,339395,671,1.98
"2023-17",884,4061,1174136,3.46,63487,737,11.61,153649,747,4.86,676888,2086,3.08,280112,491,1.75
