"year_week","influenza_viruses","number_samples","number_positive_samples"
"2024-42","FLU A",NA,24
"2024-42","A(H1N1)pdm2009",NA,10
"2024-42","A(H3N2)",NA,12
"2024-42","A",NA,2
"2024-42","FLU B",NA,2
"2024-42","RSV",NA,1
"2024-42","SARS-CoV-2",NA,129
"2024-42","Metapneumovirus",NA,0
"2024-42","Rhinovirus",NA,223
"2024-42","Adenovirus",NA,23
"2024-42","Bocavirus",NA,2
"2024-42","Generic coronavirus",NA,9
"2024-42","Parainfluenzali",NA,30
"2024-43","FLU A",1123,35
"2024-43","A(H1N1)pdm2009",1123,19
"2024-43","A(H3N2)",1123,11
"2024-43","A",1123,5
"2024-43","FLU B",1123,2
"2024-43","RSV",1123,10
"2024-43","SARS-CoV-2",1123,134
"2024-43","Metapneumovirus",1123,1
"2024-43","Rhinovirus",1123,273
"2024-43","Adenovirus",1123,48
"2024-43","Bocavirus",1123,1
"2024-43","Generic coronavirus",1123,10
"2024-43","Parainfluenzali",1123,57
"2024-44","FLU A",1273,77
"2024-44","A(H1N1)pdm2009",1273,38
"2024-44","A(H3N2)",1273,33
"2024-44","A",1273,6
"2024-44","FLU B",1273,1
"2024-44","RSV",1273,15
"2024-44","SARS-CoV-2",1273,141
"2024-44","Metapneumovirus",1273,3
"2024-44","Rhinovirus",1273,286
"2024-44","Adenovirus",1273,63
"2024-44","Bocavirus",1273,6
"2024-44","Generic coronavirus",1273,11
"2024-44","Parainfluenzali",1273,61
"2024-45","FLU A",1320,127
"2024-45","A(H1N1)pdm2009",1320,44
"2024-45","A(H3N2)",1320,61
"2024-45","A",1320,22
"2024-45","FLU B",1320,5
"2024-45","RSV",1320,14
"2024-45","SARS-CoV-2",1320,123
"2024-45","Metapneumovirus",1320,2
"2024-45","Rhinovirus",1320,262
"2024-45","Adenovirus",1320,51
"2024-45","Bocavirus",1320,2
"2024-45","Generic coronavirus",1320,19
"2024-45","Parainfluenzali",1320,53
"2024-46","FLU A",1648,222
"2024-46","A(H1N1)pdm2009",1648,77
"2024-46","A(H3N2)",1648,130
"2024-46","A",1648,15
"2024-46","FLU B",1648,6
"2024-46","RSV",1648,12
"2024-46","SARS-CoV-2",1648,113
"2024-46","Metapneumovirus",1648,4
"2024-46","Rhinovirus",1648,306
"2024-46","Adenovirus",1648,69
"2024-46","Bocavirus",1648,9
"2024-46","Generic coronavirus",1648,28
"2024-46","Parainfluenzali",1648,52
"2024-47","FLU A",1706,213
"2024-47","A(H1N1)pdm2009",1706,73
"2024-47","A(H3N2)",1706,119
"2024-47","A",1706,21
"2024-47","FLU B",1706,1
"2024-47","RSV",1706,22
"2024-47","SARS-CoV-2",1706,73
"2024-47","Metapneumovirus",1706,1
"2024-47","Rhinovirus",1706,232
"2024-47","Adenovirus",1706,74
"2024-47","Bocavirus",1706,13
"2024-47","Generic coronavirus",1706,28
"2024-47","Parainfluenzali",1706,39
